Depth, Vp, Vs, Dens, Qa, Qb
2.010, 4.78, 2.72, 2.10, 600, 300
9.760, 5.72, 3.20, 2.68, 600, 300
16.01, 6.27, 3.54, 2.77, 600, 300
28.01, 6.53, 3.69, 2.85, 600, 300
32.01, 6.97, 4.03, 2.88, 600, 300
131.43, 7.95, 4.45, 2.88, 600, 300
1000.1, 8.15, 4.58, 3.20, 600, 300
